feature,pearson_corr,spearman_corr,abs_pearson,abs_spearman
busy,0.518626942797545,0.8475939534427455,0.518626942797545,0.8475939534427455
slow_busy,0.4747781027198396,0.7896492085113598,0.4747781027198396,0.7896492085113598
duration,0.3781129444668336,0.6682920534994772,0.3781129444668336,0.6682920534994772
volume,0.22640662631097672,0.6580491678132564,0.22640662631097672,0.6580491678132564
slow_idle,-0.2130600654263255,-0.25424522526999205,0.2130600654263255,0.25424522526999205
idle,-0.19342179824624692,-0.2286831205084008,0.19342179824624692,0.2286831205084008
fast_busy,0.18530684049835555,0.17047886808211088,0.18530684049835555,0.17047886808211088
e_price,-0.13015244067026618,-0.16037571171346854,0.13015244067026618,0.16037571171346854
charge_count,0.11556329110700282,0.17091017828656332,0.11556329110700282,0.17091017828656332
s_price,-0.07541491171514149,-0.04274454306404839,0.07541491171514149,0.04274454306404839
hour,-0.0424290350231539,-0.037159908239689746,0.0424290350231539,0.037159908239689746
station_id,-0.0284206639104031,-0.024986226794148823,0.0284206639104031,0.024986226794148823
humidity,0.02654190502578237,0.02246898411386453,0.02654190502578237,0.02246898411386453
fast_idle,0.022307327156189192,0.1077389722727374,0.022307327156189192,0.1077389722727374
TAZID,-0.015260129777274057,-0.028157033471112477,0.015260129777274057,0.028157033471112477
weekday,0.013051731306723368,0.01488454712418034,0.013051731306723368,0.01488454712418034
dew_point,0.011877015652891818,0.01593576110443909,0.011877015652891818,0.01593576110443909
is_weekend,0.011320257708528968,0.016022752180263167,0.011320257708528968,0.016022752180263167
rain,-0.00934301931461906,-0.013292052081448536,0.00934301931461906,0.013292052081448536
month,0.009070913536426913,0.005304080493973627,0.009070913536426913,0.005304080493973627
temperature,-0.004616595168833615,0.0014954563183158982,0.004616595168833615,0.0014954563183158982
pressure_station,0.0030939341293570724,0.000992338748843734,0.0030939341293570724,0.000992338748843734
pressure_sea,0.0026049731071897254,0.0005810901863214186,0.0026049731071897254,0.0005810901863214186
minute,0.0011815025284937638,0.0005108681385917869,0.0011815025284937638,0.0005108681385917869
